hype-para-1,hype-para-2,hype-para-3,hype-para-4,hype-para-5,hype-para-6,score,source,score-scaled
0.9076680555181987,0.012365227685905993,0.8947940887484168,0.8983643920873876,0.016557163925142795,1.1599954269050192,0.06886316611196416,week-x,0.1966213339029221
0.7262856636678173,0.46489580525881,0.9245705141349381,0.807245395137576,0.6354383951825947,0.14341787438449227,0.06676324688193327,file,0.1906255462647854
0.11886697487294917,0.6150549401610158,0.905816385208328,0.8553003035780179,0.41363142879453507,0.5852356278450974,0.06142430250355775,file,0.17538154247322402
0.9076680555181987,0.012365227685905993,0.8947940887484168,0.8983643920873876,0.016557163925142795,1.1599954269050192,0.05419028766229936,week-x,0.15472664482810047
0.3198104328384902,0.52009758758482,0.2906777543222766,0.8767066778579525,0.4950346891082852,0.6190824996433428,0.0421183545380621,file,0.12025829654136645
0.7899425542216801,0.19554500526335772,0.5756233261057669,0.07365918727355969,0.2590491743381623,0.05109986421364299,0.03356493603703717,file,0.09583617583365672
0.0,0.99097,0.990603,0.0,0.0,1.017683,0.028769356636723045,week-5,0.08214361315081316
0.8062820836261164,0.3241223746901364,0.7260760130795909,0.14871213154104346,0.7193764014954694,0.3628839783884743,0.021342522787312367,file,0.06093816965185681
0.541240780459459,0.6314031426898206,0.03190204632766469,0.4499815599100049,0.7986528164952386,0.6337042906107708,0.018209073006581165,file,0.05199139722777933
0.6423029815827472,0.8368745468225558,0.021792691485860827,0.10148800953865356,0.6830708282995157,0.6924164003473481,0.017869598722495817,file,0.05102211436828844
0.8171123887819559,0.548168230898132,0.10334757767053271,0.12436954581241633,0.7282348211044535,0.4496736121668913,0.01479818260270181,file,0.042252463355395016
0.075664921203212,0.33450211886956494,0.13273273734822777,0.6083123613447988,0.9183859177326257,0.8223307855119826,0.008825633999510857,file,0.025199363135604027
0.09083224802375334,0.661529381768249,0.0659309106387106,0.2585770079605848,0.9634528513541345,0.6402653979255966,0.007503236678049401,file,0.0214235924300769
0.22634792132156234,0.1150258139009348,0.8247496553939904,0.9453837248568,0.905311527631774,0.9510139152470551,0.007016027558514625,file,0.02003249015608557
0.9324663796298105,0.4888118879321913,0.25860774176353407,0.9562434362289866,0.19042781042449652,0.5198517579933358,0.003777479616578685,file,0.010785636544726902
0.8468669651542917,0.14242917164851432,0.060668589780987436,0.7562921279692766,0.5523982951979418,0.08130608715208898,0.003134333310934767,file,0.008949295120853955
0.8798712775855185,0.3979619901837962,0.0036345648296357558,0.9569906396679158,0.264513732508431,0.11486924139305399,0.0027014650245082332,file,0.007713349336091813
